 8078 xpcproxy	Deleted        /private/var/tmp/cy-sqD7Ux.dylib	
 8078 xpcproxy	Modified       /private/var/tmp/cy-sqD7Ux.dylib	
 8082 xpcproxy	Created        /private/var/tmp/cy-aXG8YD.dylib	
 8082 xpcproxy	Deleted        /private/var/tmp/cy-aXG8YD.dylib	
 8082 xpcproxy	Modified       /private/var/tmp/cy-aXG8YD.dylib	
 8082 xpcproxy	Created        /private/var/tmp/cy-XFFeSc.dylib	
 8082 xpcproxy	Deleted        /private/var/tmp/cy-XFFeSc.dylib	
 8082 xpcproxy	Modified       /private/var/tmp/cy-XFFeSc.dylib	
 8086 xpcproxy	Created        /private/var/tmp/cy-orUMsU.dylib	
 8086 xpcproxy	Deleted        /private/var/tmp/cy-orUMsU.dylib	
 8086 xpcproxy	Modified       /private/var/tmp/cy-orUMsU.dylib	
 8086 xpcproxy	Created        /private/var/tmp/cy-HIbQyI.dylib	
 8086 xpcproxy	Deleted        /private/var/tmp/cy-HIbQyI.dylib	
 8086 xpcproxy	Modified       /private/var/tmp/cy-HIbQyI.dylib	
 8088 bash	Modified       /private/var/run/utmpx	
 8088 bash	Modified       /private/var/root/.bash_history	
 8088 bash	Changed stat   /private/var/root/.bash_history	
 8088 bash	Modified       /private/var/root/.bash_history	
 8086 	Modified       /private/var/run/utmpx	
  466 identityservices	Chowned        /private/var/mobile/Library/IdentityServices/ids-a.db	
  466 identityservices	Changed stat   /private/var/mobile/Library/IdentityServices/ids-a.db-shm	
  466 identityservices	Chowned        /private/var/mobile/Library/IdentityServices/ids-c.db	
  466 identityservices	Changed stat   /private/var/mobile/Library/IdentityServices/ids-c.db-shm	
  466 identityservices	Chowned        /private/var/mobile/Library/IdentityServices/ids.db	
  466 identityservices	Changed stat   /private/var/mobile/Library/IdentityServices/ids.db-shm	
 8094 sshd	Created        /private/var/tmp/cy-8OKaGC.dylib	
 8094 sshd	Deleted        /private/var/tmp/cy-8OKaGC.dylib	
 8094 sshd	Modified       /private/var/tmp/cy-8OKaGC.dylib	
 8094 sshd	Created        /private/var/tmp/cy-Rk4r5B.dylib	
 8094 sshd	Deleted        /private/var/tmp/cy-Rk4r5B.dylib	
 8094 sshd	Modified       /private/var/tmp/cy-Rk4r5B.dylib	
 8098 xpcproxy	Created        /private/var/tmp/cy-hu3Nwq.dylib	
 8098 xpcproxy	Deleted        /private/var/tmp/cy-hu3Nwq.dylib	
 8098 xpcproxy	Modified       /private/var/tmp/cy-hu3Nwq.dylib	
